label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit
33;42132943;25;49674;21
33;44778920;29;60309;0
33;43902273;26;52142;5
33;44095128;25;48794;8
33;47622711;25;101085;0
33;37894967;23;78939;7
33;45158973;26;40031;136
33;40629270;24;42024;25
33;40292866;25;39925;4
33;44594715;25;65650;13
33;38516667;21;90391;100
33;40646547;27;50345;16
33;42904860;25;38909;5
33;42728581;26;63625;0
33;42710888;26;56096;33
33;42773941;26;78235;89
33;43420360;20;52213;49
33;42676084;24;62887;21
33;44696603;25;79006;2
33;38243019;28;80433;4
33;46604954;29;74469;56
33;41987103;26;45376;30
33;41116757;24;41902;24
33;38765437;27;84383;31
33;41945260;22;42949;83
33;39243128;20;57913;11
34;46684688;24;79938;4
34;44838439;30;68363;11
34;38723933;21;113972;42
34;43795226;30;57428;2
34;39558093;19;56110;148
34;38433740;23;71039;28
34;44848690;25;44062;85
34;44029963;22;69366;68
34;45688815;36;38190;17
34;47305322;30;78457;42
34;44189375;26;48995;6
34;44710266;27;53291;70
34;40756759;25;45288;0
34;44226479;26;49555;13
34;46780406;33;59314;7
34;43005449;19;89839;67
34;43672456;25;71034;0
34;43149037;23;61332;68
34;43548848;31;71622;8
34;40765204;20;84615;139
34;41224862;23;84313;11
34;43513106;31;50547;0
34;46915925;25;79553;6
34;41558717;23;63092;1
34;43897452;24;52542;26
34;43590670;23;40593;203
34;40779762;22;41782;0
34;44353016;31;64383;18
34;44403657;33;43365;0
34;43063678;26;53966;8
34;40082870;21;40115;127
34;43712339;25;49419;13
34;43113854;26;73608;25
34;39847132;23;112063;26
34;44989675;32;85577;0
34;39581933;18;53490;320
34;44282864;23;126015;0
34;40101829;27;77911;40
34;41818734;25;52648;64
34;45594055;25;68185;183
34;42451056;23;57747;30
34;38682800;26;81459;0
35;42939990;27;46446;5
35;39526513;23;75191;34
35;42795559;31;109900;18
35;47369779;28;71559;63
35;39820021;23;60490;10
35;40085556;21;56701;172
35;39744626;28;53232;4
35;44838703;32;55012;0
35;43462453;30;43607;0
35;47389369;35;63492;0
35;44390414;32;68089;72
35;45074053;29;66984;49
35;40397278;21;84491;2
35;42739261;30;61454;0
35;43937685;24;69754;4
35;40257850;20;80930;27
35;39902099;21;78187;24
35;44201634;29;42577;5
35;45096170;28;72238;47
35;43438169;34;43475;0
35;45649935;25;79106;142
35;44110610;27;45821;45
35;39672974;26;81553;2
35;39274273;21;77202;0
35;45840724;30;56968;13
35;42745251;26;58011;0
35;48209427;36;53293;11
35;44248880;29;72592;0
35;44224274;27;74064;20
35;39642998;26;87839;0
35;43956814;30;49936;0
35;45124573;25;85792;20
35;43241753;32;52912;11
35;45752450;25;57367;13
35;40376349;23;49062;11
35;46510721;29;82282;7
35;41044806;25;39360;3
35;44186776;32;61476;80
35;40230670;21;46110;45
35;47420109;34;71811;37
35;41060795;22;56366;95
36;40075618;26;59888;2
36;40348379;29;48755;10
36;40177416;19;99353;91
36;46366977;29;73060;0
36;42496757;29;41751;29
36;44437848;29;55113;2
36;40326215;19;61603;15
36;40625371;23;57238;44
